model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump,no_flow,event_brier,jumps,5,all,0.22304295565304688,0.22082067446426676,-0.0022222811887801066,-0.0012663544417196027,0.005783979565816169,-0.0022222811887801066,-0.0012663544417196027,5
flow_jump_observation,no_flow,event_brier,jumps,5,all,0.2228757848763479,0.2208161226869429,-0.002059662189404976,-0.0012700763984350993,0.005789441851073406,-0.002059662189404976,-0.0012700763984350993,5
flow_jump,no_flow,event_brier,jumps,10,all,0.21979594444545078,0.21943905643544764,-0.0003568880100031591,-0.0010169330644260177,0.001846008976561163,-0.0003568880100031591,-0.0010169330644260177,5
flow_jump_observation,no_flow,event_brier,jumps,10,all,0.21987409496234167,0.21943837699534013,-0.00043571796700154765,-0.0009990815943828057,0.0018918034598209687,-0.00043571796700154765,-0.0009990815943828057,5
flow_jump,no_flow,event_brier,jumps,20,all,0.22492799814868883,0.2199280076113217,-0.004999990537367138,-0.0008960698755798024,0.012019116103482469,-0.004999990537367138,-0.0008960698755798024,5
flow_jump_observation,no_flow,event_brier,jumps,20,all,0.22490532184841378,0.2199234782507137,-0.004981843597700081,-0.0008937906619947145,0.01200892270986067,-0.004981843597700081,-0.0008937906619947145,5
flow_jump,no_flow,event_brier,jumps,40,all,0.2240227561802001,0.21860465907945087,-0.00541809710074923,-0.0008184101699176827,0.011253943106664645,-0.00541809710074923,-0.0008184101699176827,5
flow_jump_observation,no_flow,event_brier,jumps,40,all,0.2240223376059515,0.21860853038106423,-0.005413807224887291,-0.0008163612444377077,0.011259197794738886,-0.005413807224887291,-0.0008163612444377077,5
flow_jump,no_flow,event_brier,jumps,80,all,0.2188283184723443,0.21870744366473494,-0.00012087480760937241,0.0013625912473194113,0.0021691655266865245,-0.00012087480760937241,0.0013625912473194113,5
flow_jump_observation,no_flow,event_brier,jumps,80,all,0.2188310713872176,0.21871225644386677,-0.00011881494335083675,0.0013542877277362975,0.002168119187412025,-0.00011881494335083675,0.0013542877277362975,5
flow_jump,no_flow,event_brier,jumps,100,all,0.21855539692807663,0.21777388447482166,-0.0007815124532549844,-0.0009529432148454031,0.000731541944285712,-0.0007815124532549844,-0.0009529432148454031,5
flow_jump_observation,no_flow,event_brier,jumps,100,all,0.21855904255657888,0.21777727139910494,-0.0007817711574739205,-0.0009627327145182996,0.0007351575053001116,-0.0007817711574739205,-0.0009627327145182996,5
flow_jump,no_flow,event_brier,misspecified,5,all,0.2150785754722712,0.21170301630495025,-0.0033755591673209017,-0.004036022038474696,0.010887800244033926,-0.0033755591673209017,-0.004036022038474696,5
flow_jump_observation,no_flow,event_brier,misspecified,5,all,0.21443487745871184,0.2116015121392576,-0.0028333653194542287,-0.0010692450272183907,0.010813293047429567,-0.0028333653194542287,-0.0010692450272183907,5
flow_jump,no_flow,event_brier,misspecified,10,all,0.22816174298652295,0.2184702939011892,-0.009691449085333703,-0.002288756068582809,0.019030676554803783,-0.009691449085333703,-0.002288756068582809,5
flow_jump_observation,no_flow,event_brier,misspecified,10,all,0.228327963832695,0.2184533833319922,-0.009874580500702784,-0.0030862339758019053,0.01897785213302693,-0.009874580500702784,-0.0030862339758019053,5
flow_jump,no_flow,event_brier,misspecified,20,all,0.20561573720925663,0.1993223766690565,-0.006293360540200121,-0.012316027873005092,0.011115433195910109,-0.006293360540200121,-0.012316027873005092,5
flow_jump_observation,no_flow,event_brier,misspecified,20,all,0.202154143194974,0.19949727589893224,-0.0026568672960417816,-0.0007656833268239183,0.008933021425667936,-0.0026568672960417816,-0.0007656833268239183,5
flow_jump,no_flow,event_brier,misspecified,40,all,0.20902143455416078,0.20115373950899956,-0.007867695045161239,0.0013896569096684963,0.023618508691132852,-0.007867695045161239,0.0013896569096684963,5
flow_jump_observation,no_flow,event_brier,misspecified,40,all,0.20894391934235065,0.20138538341553147,-0.007558535926819182,0.0018762525898805005,0.023115727226148002,-0.007558535926819182,0.0018762525898805005,5
flow_jump,no_flow,event_brier,misspecified,80,all,0.19604852015102975,0.19880938932470102,0.0027608691736712766,0.0019351349721002942,0.002661465670949633,0.0027608691736712766,0.0019351349721002942,5
flow_jump_observation,no_flow,event_brier,misspecified,80,all,0.19599311610724798,0.19908836655257894,0.003095250445330977,0.0026943713759645938,0.0028438427213805188,0.003095250445330977,0.0026943713759645938,5
flow_jump,no_flow,event_brier,misspecified,100,all,0.19563696206031186,0.19785285250734447,0.002215890447032609,0.0035814648430940177,0.0024028854406635044,0.002215890447032609,0.0035814648430940177,5
flow_jump_observation,no_flow,event_brier,misspecified,100,all,0.19800307534877284,0.19809150884139912,8.843349262628308e-05,0.0007575260344981072,0.004800069690602497,8.843349262628308e-05,0.0007575260344981072,5
flow_jump,no_flow,event_brier,site_shift,5,all,0.16770383345020856,0.14966510379589543,-0.018038729654313124,0.0027160469157793965,0.05460083199551918,-0.018038729654313124,0.0027160469157793965,5
