world,n_train,cohort_seed,subset_seed,model_seed,flow_jump,gru_from_scratch,representation_linear,delta_vs_gru,delta_vs_representation_linear,relative_vs_gru,relative_vs_representation_linear,beats_gru,beats_representation_linear,beats_both
jumps,5,102,202,302,1.3710919618606567,0.9483969211578368,1.1513453503854447,-0.42269504070281994,-0.21974661147521202,-0.4456942354755631,-0.19086072775787538,False,False,False
jumps,5,103,203,303,1.1596946716308594,1.0188871622085571,1.0635451928210666,-0.14080750942230225,-0.09614947880979274,-0.13819735358828694,-0.09040469503205131,False,False,False
jumps,5,104,204,304,1.0432686805725098,1.1439683437347412,1.310408170012783,0.10069966316223145,0.2671394894402732,0.08802661691972595,0.20385975572608592,True,True,True
jumps,5,105,205,305,1.2212730646133425,1.01966655254364,1.0906610883801922,-0.2016065120697026,-0.13061197623315035,-0.19771807907867428,-0.11975486943164923,False,False,False
jumps,10,101,201,301,0.9720093607902528,1.0373624563217163,1.1594036484122094,0.06535309553146351,0.18739428762195665,0.06299928740740508,0.1616298929873052,True,True,True
jumps,10,102,202,302,1.3379908800125122,0.9772605299949646,1.0754730122041845,-0.3607303500175476,-0.26251786780832775,-0.3691240349381616,-0.24409526304179105,False,False,False
jumps,10,103,203,303,0.927580177783966,0.9091449975967408,1.0046987950946855,-0.01843518018722512,0.07711861731071956,-0.02027749174879385,0.07675794744379254,False,True,False
jumps,10,104,204,304,1.0645458698272705,1.086135745048523,1.215675623776212,0.02158987522125244,0.15112975394894157,0.01987769514047981,0.12431749966285606,True,True,True
jumps,10,105,205,305,1.0935767889022827,0.9394769072532654,1.1543665767876303,-0.15409988164901733,0.06078978788534761,-0.16402732250179183,0.05266073109506804,False,True,False
jumps,20,101,201,301,1.0411261320114136,1.009593486785889,1.0577279751319717,-0.03153264522552468,0.016601843120558124,-0.0312330117401124,0.015695758749773758,False,True,False
jumps,20,102,202,302,1.352005958557129,1.099557876586914,1.2041212452578125,-0.25244808197021484,-0.1478847132993164,-0.2295905357468104,-0.12281546719795068,False,False,False
jumps,20,103,203,303,1.0728731155395508,1.0006980895996094,1.0381694539622734,-0.0721750259399414,-0.034703661577277334,-0.07212467645343407,-0.03342774288419629,False,False,False
jumps,20,104,204,304,1.000491738319397,1.0570728778839111,1.152064170110218,0.05658113956451416,0.15157243179082114,0.05352624284314289,0.1315659628372265,True,True,True
jumps,20,105,205,305,1.188221096992493,0.9268466234207152,1.1007066504712666,-0.2613744735717777,-0.08751444652122631,-0.2820040198313743,-0.07950751136441038,False,False,False
jumps,40,101,201,301,0.9127888679504396,1.0265518426895142,1.081347516747304,0.1137629747390746,0.16855864879686433,0.11082048661178312,0.15587833345554736,True,True,True
jumps,40,102,202,302,1.375932216644287,0.9583219885826112,1.014345139668522,-0.4176102280616759,-0.3615870769757652,-0.43577235317258534,-0.3564734160346333,False,False,False
jumps,40,103,203,303,1.0622025728225708,1.00283682346344,1.1121720395891983,-0.05936574935913086,0.0499694667666275,-0.059197815606833,0.044929619688231566,False,True,False
jumps,40,104,204,304,1.1195999383926392,1.1821904182434082,1.0795335656557463,0.06259047985076904,-0.04006637273689284,0.05294449936734466,-0.037114522430393475,True,False,False
jumps,40,105,205,305,1.054357886314392,0.9574882984161376,1.1555272465040207,-0.0968695878982545,0.10116936018962863,-0.10117051880267852,0.08755255273790431,False,True,False
jumps,80,101,201,301,0.929795503616333,0.9849666953086852,1.0148283873622994,0.055171191692352184,0.0850328837459664,0.0560132560371107,0.08379040713177172,True,True,True
jumps,80,102,202,302,1.1937865018844604,0.964678168296814,1.0613619244986408,-0.22910833358764648,-0.1324245773858197,-0.2374971686071722,-0.12476853967450693,False,False,False
jumps,80,103,203,303,1.0122064352035522,1.130927324295044,1.0311972441561603,0.1187208890914917,0.018990808952608074,0.10497658562233039,0.018416272018015774,True,True,True
jumps,80,104,204,304,0.9739654064178468,1.063030481338501,1.1129473754795045,0.08906507492065419,0.13898196906165772,0.0837841214190858,0.12487739503566235,True,True,True
jumps,80,105,205,305,1.1305537223815918,1.1772217750549316,1.0906566859043956,0.046668052673339844,-0.039897036477196224,0.039642532666508155,-0.03658074717078615,True,False,False
jumps,100,101,201,301,0.9227391481399536,1.0167900323867798,1.0795581871973683,0.09405088424682617,0.15681903905741468,0.09249784247594775,0.145262238679817,True,True,True
jumps,100,102,202,302,1.1255658864974976,0.9506186842918396,1.0438699162859897,-0.17494720220565796,-0.08169597021150787,-0.1840350974544376,-0.07826259664822602,False,False,False
jumps,100,103,203,303,0.9693376421928406,0.9512614011764526,0.9951057524681954,-0.01807624101638794,0.02576811027535486,-0.01900239092433744,0.02589484606177918,False,True,False
jumps,100,104,204,304,0.9490113854408264,1.0609986782073977,1.1458814546352034,0.11198729276657127,0.196870069194377,0.10554894654136474,0.1718066632442808,True,True,True
jumps,100,105,205,305,1.018952488899231,0.9183709621429444,1.073890485733108,-0.10058152675628651,0.05493799683387701,-0.10952167577422924,0.05115791373863671,False,True,False
misspecified,5,101,201,301,1.7882914543151855,1.7570005655288696,1.520712561005484,-0.03129088878631592,-0.26757889330970164,-0.017809265062414557,-0.1759562590400256,False,False,False
misspecified,5,102,202,302,1.925134539604187,1.8122715950012207,1.5386746622681011,-0.11286294460296631,-0.3864598773360859,-0.06227705875558365,-0.25116412638290947,False,False,False
misspecified,5,103,203,303,1.6679874658584597,1.40517258644104,1.4857958993694178,-0.26281487941741966,-0.1821915664890419,-0.1870338789365837,-0.12262220306730236,False,False,False
