stage,world,cohort_seed,subset_seed,model_seed,n_train,n_fit,n_validation,model,variant,optimization_policy,split,site_or_shift,metric,value,trainable_parameters,backend
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5133266815620458,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.0354333439137798,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1583061288789869,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3299332070636364,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2478282451629638,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.3989445321241556,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5133266815620458,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.0354333439137798,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1583061288789869,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3299332070636364,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.3012870848178863,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.4873987539010521,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5148134302295112,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.0304957485933416,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1382375999124293,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3332248419982952,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.3012870848178863,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.4873987539010521,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5148134302295112,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.0304957485933416,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1382375999124293,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3332248419982952,3556,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2687654495239258,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4397180733425087,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5126368726083657,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.033390753732549,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1540040164611584,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.314234456764902,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2687654495239258,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.4397180733425087,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5126368726083657,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.033390753732549,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1540040164611584,4156,torch
phase07,smooth,406,506,1107,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.314234456764902,4156,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.3161821961402893,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.5136751240094493,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5040167160128155,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.03083200431183,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1393591742583266,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.2861091920296749,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.3161821961402893,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.5136751240094493,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5040167160128155,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.03083200431183,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1393591742583266,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.2861091920296749,3556,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2655979990959167,4156,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4283047013540662,4156,torch
phase07,smooth,406,506,1108,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5126530188285355,4156,torch
