stage,world,cohort_seed,subset_seed,model_seed,n_train,Delta_MAE,control_mae,time_scaled_mae,control_selected_epoch,control_shadow_mae_epoch,control_stop_epoch,control_early_stop_reason,candidate_selected_epoch,candidate_shadow_mae_epoch,candidate_stop_epoch,candidate_early_stop_reason,control_prefix10_gradient_l2_mean,control_prefix10_parameter_l2_mean,control_prefix10_flow_displacement_mean,candidate_prefix10_gradient_l2_mean,candidate_prefix10_parameter_l2_mean,candidate_prefix10_flow_displacement_mean,delta_selected_epoch,delta_stop_epoch,delta_shadow_mae_epoch,control_selection_shadow_gap,candidate_selection_shadow_gap,delta_selection_shadow_gap,control_patience_exhausted,candidate_patience_exhausted,delta_patience_exhausted,delta_prefix10_gradient_l2_mean,delta_prefix10_parameter_l2_mean
d4b,smooth,402,502,1001,40,0.0607862770557403,0.3219337463378906,0.2611474692821502,100,13,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1647843956947326,7.013300895690918,0.0,0.9788572907447814,7.565443849563598,0.26890008002519605,0,0,87,87,0,-87,0,0,0,-0.18592710494995113,0.5521429538726803
d4b,smooth,402,502,1002,40,0.0487658977508544,0.3320381939411163,0.2832722961902618,100,14,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1063369750976562,7.0066694736480715,0.0,1.4219918847084045,7.569660091400147,0.28642346858978274,0,0,86,86,0,-86,0,0,0,0.3156549096107484,0.5629906177520754
d4b,smooth,402,502,1003,40,0.059618055820465,0.324064701795578,0.2644466459751129,100,8,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1545585989952087,7.104109811782837,0.0,1.2105791449546814,7.702690744400025,0.36126777827739714,0,0,92,92,0,-92,0,0,0,0.0560205459594727,0.598580932617188
d4b,smooth,402,502,1004,40,0.0518634915351867,0.3090920448303222,0.2572285532951355,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9342657327651978,7.052910232543946,0.0,1.390457236766815,7.674849033355713,0.27581596970558164,0,0,0,0,0,0,0,0,0,0.45619150400161734,0.6219388008117672
d4b,smooth,402,502,1005,40,0.062617540359497,0.3378036618232727,0.2751861214637756,100,22,100,max_epochs_reached,100,100,100,max_epochs_reached,1.260012423992157,6.997589588165283,0.0,1.134180134534836,7.561830615997314,0.2624104350805282,0,0,78,78,0,-78,0,0,0,-0.12583228945732117,0.5642410278320309
d4b,smooth,402,502,1006,40,0.0412507653236389,0.3261853456497192,0.2849345803260803,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.083206433057785,7.061845111846924,0.0,1.1668843984603883,7.609181594848633,0.3102058172225952,0,0,0,0,0,0,0,0,0,0.0836779654026032,0.5473364830017093
d4b,smooth,402,502,1007,40,0.0382052659988403,0.291834682226181,0.2536294162273407,100,9,100,max_epochs_reached,100,100,100,max_epochs_reached,0.889515471458435,7.155837869644165,0.0,0.9739177882671356,7.697614288330078,0.25781623274087906,0,0,91,91,0,-91,0,0,0,0.08440231680870058,0.5417764186859131
d4b,smooth,402,502,1008,40,0.004961609840393,0.284253865480423,0.2792922556400299,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.0687546491622926,7.130447912216186,0.0,1.22528817653656,7.666065359115601,0.2802292048931122,0,0,0,0,0,0,0,0,0,0.1565335273742674,0.5356174468994146
d4b,smooth,402,502,1009,40,0.0201115012168884,0.3108252584934234,0.290713757276535,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9934779226779937,7.028692579269409,0.0,1.2303051710128785,7.589639329910279,0.2746383637189865,0,0,0,0,0,0,0,0,0,0.23682724833488478,0.5609467506408699
d4b,smooth,402,502,1010,40,0.049792855978012,0.3138825893402099,0.2640897333621979,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9380751192569733,6.973235654830932,0.0,1.2571401953697205,7.566497278213501,0.2162458628416061,0,0,0,0,0,0,0,0,0,0.31906507611274726,0.5932616233825687
