candidate,control,cohort_seed,subset_seed,model_seed,n_train,metric,candidate_value,control_value,effect,candidate_better
gated,none,405,505,605,5,mae,0.3675251603126526,0.3257488012313843,-0.04177635908126831,False
gated,none,405,505,605,5,rmse,0.5417385573241519,0.5130839591392942,-0.028654598184857716,False
gated,none,405,505,605,10,event_brier,0.04309596302258714,0.03537832351189897,-0.007717639510688171,False
gated,none,405,505,605,10,event_log_loss,0.1912803613098256,0.17230011171984297,-0.018980249589982623,False
gated,none,405,505,605,10,event_roc_auc,0.511744820318142,0.4882515446048187,0.02349327571332327,True
gated,none,405,505,605,10,latent_aligned_r2,0.28027142314328535,0.3550264663587556,-0.07475504321547027,False
gated,none,405,505,605,10,mae,0.36029353737831116,0.3572295606136322,-0.003063976764678955,False
gated,none,405,505,605,10,rmse,0.553566619526942,0.5425362270758209,-0.01103039245112103,False
gated,none,405,505,605,20,event_brier,0.035377729566785504,0.029217424839374263,-0.006160304727411241,False
gated,none,405,505,605,20,event_log_loss,0.15762645709212927,0.1389501958155323,-0.018676261276596967,False
gated,none,405,505,605,20,event_roc_auc,0.5088257398593468,0.4838988427732245,0.02492689708612228,True
gated,none,405,505,605,20,latent_aligned_r2,0.2826443244274087,0.35647986494516454,-0.07383554051775582,False
gated,none,405,505,605,20,mae,0.32823091745376587,0.25862449407577515,-0.06960642337799072,False
gated,none,405,505,605,20,rmse,0.500478307112885,0.4115172376197347,-0.0889610694931503,False
gated,none,405,505,605,40,event_brier,0.0290038464580887,0.028199924562353693,-0.0008039218957350061,False
gated,none,405,505,605,40,event_log_loss,0.1341570972608099,0.13001975387547518,-0.004137343385334724,False
gated,none,405,505,605,40,event_roc_auc,0.5031180251959306,0.48670951463239676,0.016408510563533873,True
gated,none,405,505,605,40,latent_aligned_r2,0.30890108372072156,0.3502089013771249,-0.041307817656403345,False
gated,none,405,505,605,40,mae,0.23132170736789703,0.29780617356300354,0.0664844661951065,True
gated,none,405,505,605,40,rmse,0.37053521939242956,0.4892011902836771,0.11866597089124753,True
time_scaled,none,401,501,601,5,event_brier,0.030102222162096556,0.029665483177615363,-0.0004367389844811935,False
time_scaled,none,401,501,601,5,event_log_loss,0.15243834171639345,0.13342197335076875,-0.019016368365624703,False
time_scaled,none,401,501,601,5,event_roc_auc,0.5355290895837027,0.5073150107374351,0.028214078846267587,True
time_scaled,none,401,501,601,5,latent_aligned_r2,0.23733646939720546,0.28362402780359247,-0.046287558406387014,False
time_scaled,none,401,501,601,5,mae,0.3670192062854767,0.3842839300632477,0.017264723777770996,True
time_scaled,none,401,501,601,5,rmse,0.5834361025564154,0.6187954731810166,0.03535937062460115,True
time_scaled,none,401,501,601,10,event_brier,0.03947421939770138,0.03248541314585496,-0.006988806251846419,False
time_scaled,none,401,501,601,10,event_log_loss,0.1737843408453226,0.15337874876846183,-0.020405592076860768,False
time_scaled,none,401,501,601,10,event_roc_auc,0.5396229879622515,0.5125171700455109,0.027105817916740604,True
time_scaled,none,401,501,601,10,latent_aligned_r2,0.2804831563855326,0.32716122330542485,-0.046678066919892236,False
time_scaled,none,401,501,601,10,mae,0.3007267117500305,0.2871852517127991,-0.013541460037231445,False
time_scaled,none,401,501,601,10,rmse,0.46055404424547214,0.43833997676381453,-0.022214067481657607,False
