model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,event_log_loss,0.5150118258004429,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5167339750838424,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5810625356096976,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,mae,0.6535772085189819,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,nll,0.8949835026550776,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,rmse,1.1885562515812673,6967,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,coverage_90,0.8843210579756804,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,event_brier,0.20352928890614508,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,event_log_loss,0.5990526725399828,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5224178677040794,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5853038630361618,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,mae,0.6700837016105652,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,nll,1.6200189786253423,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,10,8,2,201,101,201,301,test,all,rmse,1.1841286939098046,7642,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,coverage_90,0.8608187424156121,6490,,informative_observation,low_n
